v1, LP, NewBet, 0.021875, 22589781
v1, LP, NewBet, 0.01925, 22589799
v1, LP, NewBet, 0.021875, 22589878
v1, LP, NewBet, 0.020958, 22589960
v1, LP, NewBet, 0.019458, 22589964
v1, LP, NewBet, 0.02025, 22590109
v1, LP, NewBet, 0.019292, 22590389
v1, LP, NewBet, 0.019208, 22590404
v1, LP, NewBet, 0.018417, 22590418
v1, LP, NewBet, 0.020083, 22590419
v1, LP, NewBet, 0.019958, 22591307
v1, LP, NewBet, 0.022709, 22591608
v1, Core, ConditionResolved, 0.054167, 22591615
v1, Core, ConditionResolved, 0.026958, 22591618
v1, Core, ConditionResolved, 0.075291, 22591622
v1, Core, ConditionResolved, 0.016125, 22591624
v1, Core, ConditionResolved, 0.015667, 22591627
v1, Core, ConditionResolved, 0.015584, 22591630
v1, Core, ConditionResolved, 0.013833, 22591633
v1, Core, ConditionResolved, 0.0135, 22591636
v1, Core, ConditionResolved, 0.01375, 22591640
v1, Core, ConditionResolved, 0.023584, 22591642
v1, Core, ConditionResolved, 0.012833, 22591646
v1, Core, ConditionResolved, 0.014416, 22591649
v1, Core, ConditionResolved, 0.027416, 22591652
v1, Core, ConditionResolved, 0.021417, 22591656
v1, LP, NewBet, 0.027958, 22591671
v1, LP, NewBet, 0.020375, 22591696
v1, LP, NewBet, 0.02125, 22591748
v1, LP, NewBet, 0.021083, 22593111
v1, LP, NewBet, 0.020625, 22593121
v1, LP, NewBet, 0.021, 22593138
v1, LP, NewBet, 0.019834, 22593157
v1, LP, NewBet, 0.0205, 22593233
v1, Core, ConditionResolved, 0.018625, 22593409
v1, Core, ConditionResolved, 0.014584, 22593412
v1, Core, ConditionResolved, 0.0165, 22593415
v1, Core, ConditionResolved, 0.014, 22593419
v1, Core, ConditionResolved, 0.013584, 22593422
v1, Core, ConditionResolved, 0.014625, 22593425
v1, Core, ConditionResolved, 0.014292, 22593428
v1, Core, ConditionResolved, 0.016583, 22593431
v1, Core, ConditionResolved, 0.015333, 22593435
v1, Core, ConditionResolved, 0.013542, 22593437
v1, Core, ConditionResolved, 0.012625, 22593440
v1, Core, ConditionResolved, 0.012875, 22593443
v1, Core, ConditionResolved, 0.013042, 22593446
v1, Core, ConditionResolved, 0.016, 22593449
v1, Core, ConditionResolved, 0.01525, 22593589
v1, Core, ConditionResolved, 0.035083, 22593592
v1, Core, ConditionResolved, 0.014417, 22593596
v1, Core, ConditionResolved, 0.013791, 22593598
v1, Core, ConditionResolved, 0.013208, 22593602
v1, Core, ConditionResolved, 0.020084, 22593605
v1, Core, ConditionResolved, 0.013042, 22593608
v1, Core, ConditionResolved, 0.012833, 22593611
v1, Core, ConditionResolved, 0.015166, 22593614
v1, Core, ConditionResolved, 0.016958, 22593617
v1, Core, ConditionResolved, 0.019917, 22593620
v1, Core, ConditionResolved, 0.019333, 22593623
v1, Core, ConditionResolved, 0.029833, 22593626
v1, Core, ConditionResolved, 0.03775, 22593630
v1, Core, ConditionResolved, 0.018625, 22593632
v1, Core, ConditionResolved, 0.014417, 22593635
v1, Core, ConditionResolved, 0.014917, 22593638
v1, Core, ConditionResolved, 0.015708, 22593641
v1, Core, ConditionResolved, 0.017125, 22593644
v1, Core, ConditionResolved, 0.0155, 22593647
v1, Core, ConditionResolved, 0.013667, 22593650
